ID PLU 210013,Medio,url website,Nac/Loc/HLoc,Región Origen,Comuna Origen,Propiedad Legal,Twitter,Facebook,Instagram,Personero-Propiedad,Origen medial,Plataformas mediales,Youtube,Plataformas mediales,
33,Fortin Mapocho,http://www.fortinmapocho.cl  ,N,Metropolitana,Santiago,MAURICIO CATONI CONTRERAS,https://twitter.com/FortinOficial,https://www.facebook.com/fortinoficial/,https://www.instagram.com/fortinoficial/,MAURICIO CATONI CONTRERAS,Periodico Digital,Portal Internet,https://www.youtube.com/user/mcatoni,Portal Internet,
34,"Izquierda Diario, La",www.laizquierdadiario.cl,N,Metropolitana,Santiago,Red Internacional de Diarios (Trotskistas),https://twitter.com/LID_Chile,https://www.facebook.com/Laizquierdadiariochile/,https://www.instagram.com/laizquierdadiariocl/,?,Periodico Digital,Portal Internet,https://www.youtube.com/channel/UCkGgcyUS8ZLmYOZKaiVISdw,Portal Internet,
35,La cuarta,https://www.lacuarta.com,N,Metropolitana,Nuñoa,Grupo Copesa,https://twitter.com/lacuarta,https://www.facebook.com/DiarioLaCuarta/,https://www.instagram.com/lacuartacom/,Alvaro Sahie,Diario Papel,"Papel, Digital, WebTv",https://www.youtube.com/user/lacuarta2007,"Papel, Digital, WebTv",
36,emol,https://www.emol.com,N,Metropolitana,Santiago,El Mercurio S.A.P.,https://twitter.com/Emol,https://www.facebook.com/emolcl/,https://www.instagram.com/emolcom/,Agustin Edwards,Periodico Digital,Digital,N.E,Digital,
37,LUN,http://www.lun.com,N,Metropolitana,Santiago,El Mercurio S.A.P.,https://twitter.com/lun,https://www.facebook.com/LasUltimasNoticias/,https://www.instagram.com/lungram/,Agustin Edwards,Diario Papel,"Papel, digital",N.E,"Papel, digital",
38,Interferencia,https://interferencia.cl,N,Metropolitana,Santiago,Ediciones Interferencia SPA,https://twitter.com/InterferenciaCL,https://www.facebook.com/InterferenciaChile/,https://www.instagram.com/interferencia.cl/,Victor Herrero,Periodico Digital,Pagina web,,Pagina web,
39,La Red TV,https://lared.cl/,N,Metropolitana,Macul,Albavisión (MX),https://twitter.com/LaRedTV,https://www.facebook.com/CanalLaRed/,https://www.instagram.com/laredtv/,Remigio Ángel González,Canal TV,Tv Abierta,https://www.youtube.com/user/laredcl,Tv Abierta,
40,La Segunda,https://digital.lasegunda.com,N,Metropolitana,Santiago,El Mercurio S.A.P.,https://twitter.com/La_Segunda,https://www.facebook.com/LaSegundaCom/,https://www.instagram.com/diariolasegunda/,Agustin Edwards,Diario Papel,"Papel, Digital",N.E,"Papel, Digital",
41,La Nacion,http://lanacion.cl/,N,Metropolitana,Santiago,Empresa Periodistica La Nación S.A.,https://twitter.com/nacioncl,https://www.facebook.com/lanacionchile/,https://www.instagram.com/lanacioncl/,,Diario Papel,"Papel, Digital",https://www.youtube.com/user/nacioncl,"Papel, Digital",
42,La Hora,http://www.lahora.cl,N,Metropolitana,Santiago,Grupo Copesa,https://twitter.com/DiarioLaHora,https://www.facebook.com/LaHoraCl/,https://www.instagram.com/lahorascl/,Alvaro Sahie,Diario Papel,"Papel, digital",N.E,"Papel, digital",
43,El Clarin,https://www.elclarin.cl,N,Metropolitana,Santiago,Fundación Presidente Allende,https://twitter.com/ELCLARINDECHILE,https://www.facebook.com/ELClarindeChile/,https://www.instagram.com/elclarin.cl/,,Diario Papel,Digital,https://www.youtube.com/channel/UC_xEm3AtqIqQ3zRzuqEAtQw,Digital,
44,Cambio 21,https://cambio21.cl,N,Metropolitana,Santiago,Sociedad Periodística Cambio S.A.,https://twitter.com/cambio21cl,https://www.facebook.com/cambio21cl/,NE,,Diario Papel,"Papel, digital",https://www.youtube.com/channel/UCsQluFgBYGp7IFcV7S-MuRw,"Papel, digital",
45,El Siglo,http://elsiglo.cl,N,Metropolitana,Santiago,Partido Comunista de Chile,https://twitter.com/elsiglochile,https://www.facebook.com/elsiglochile/,https://www.instagram.com/elsiglochile/,Guillermo Tellier,Diario Papel,"Papel, digital",https://www.youtube.com/channel/UCEMzQUTq7RYyzJqLoBTy6_A,"Papel, digital",
